siteid,sitename,damname,county,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,windowstart,windowend,Chl_a,label,B11,B2,B2_B3,B3,B3_B2,B3_B4,B4,B5,B5_B4,B8,CI,FAI,NDCI,NDRE,NDVI,NDWI
2146,德基水庫四,德基水庫,臺中市,121.218726,24.266289,272207.55,2684531.82,2019-09-10,2019-09-07,2019-09-13,49.1,1,0.0079,0.02,0.5154639,0.0388,1.94,2.6394558,0.0147,0.0166,1.1292517,0.0046,0.12925167,-0.008826349,0.06070286,-0.5660377,-0.5233161,0.7880184
2192,成功水庫,成功水庫,澎湖縣,119.625964,23.577479,313893.66,2608371.04,2021-02-23,2021-02-20,2021-02-26,48.4,1,0.088,0.0427,0.56036747,0.0762,1.7845434,1.4597701,0.0522,0.0898,1.7203065,0.0406,0.7203065,-0.018305395,0.26478872,-0.3773006,-0.124999985,0.30479452
2111,菱湖水庫,菱湖水庫,金門縣,118.244411,24.4469,173391.51,2704726.55,2024-01-19,2024-01-16,2024-01-22,47.8,1,0.0386,0.0208,0.7819549,0.0266,1.2788461,1.3926702,0.0191,0.0369,1.9319372,0.0176,0.9319372,-0.005152381,0.31785715,-0.35412842,-0.04087192,0.2036199
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2019-12-11,2019-12-08,2019-12-14,46.8,1,0.01685,0.05465,0.7949692,0.0682,1.2584006,1.3588476,0.0504,0.05065,0.99848163,0.03385,-0.001518411,-0.010500477,-7.94E-04,-0.20589578,-0.20146903,0.34285647
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2021-08-27,2021-08-24,2021-08-30,46,1,0.0134,0.0673,0.8128019,0.0828,1.2303121,1.6428572,0.0504,0.0541,1.0734127,0.0117,0.07341269,-0.031769842,0.035406694,-0.64437693,-0.62318844,0.75238097
2184,澄清湖水庫四,澄清湖水庫,高雄市,120.3505,22.6639722,183253.59,2507220.35,2021-05-17,2021-05-14,2021-05-20,45,1,0.047250003,0.0678,0.7571156,0.08955,1.3208034,1.4248121,0.06285,0.082100004,1.3063036,0.04525,0.3063036,-0.014678096,0.13280132,-0.28936958,-0.16282134,0.3286308
2182,澄清湖水庫二,澄清湖水庫,高雄市,120.3524722,22.6603611,183454.53,2506819.59,2022-03-09,2022-03-06,2022-03-12,44.5,1,0.0069,0.0344,0.7947494,0.0433,1.2582582,2.1435645,0.0202,0.0148,0.74611396,0.0038,-0.25388604,-0.013890158,-0.14540061,-0.58241755,-0.67099565,0.83369803
2182,澄清湖水庫二,澄清湖水庫,高雄市,120.3524722,22.6603611,183454.53,2506819.59,2021-03-02,2021-02-27,2021-03-05,44.3,1,0.00845,0.0591,0.86526036,0.068299994,1.1560059,1.6761551,0.040749997,0.0379,0.9300457,0.01695,-0.069954306,-0.017750159,-0.036245823,-0.38211277,-0.41263276,0.6024288
2108,擎天水庫,擎天水庫,金門縣,118.397673,24.462844,188938.72,2706416.26,2021-11-25,2021-11-22,2021-11-28,43.3,1,0.0294,0.0172,0.7818182,0.022,1.2790697,1.2941176,0.017,0.0188,1.1058823,0.0161,0.10588228,-0.00322254,0.050279297,-0.07736387,-0.02719034,0.15485562
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2025-12-02,2025-11-29,2025-12-05,43,1,0.0204,0.0685,0.9133946,0.075,1.0948603,1.5203543,0.04935,0.0552,1.1188611,0.0418,0.11886105,-0.002127617,0.056003444,-0.1383219,-0.08293811,0.28438857
